コード,修正機種名,件数,台数,最小値,最大値,合計額,中心価格,前回
p10130,Ｐ　ＴｏＬＯＶＥるダークネス　１９９ｖｅｒ．,0,0,0,0,0,9119,9131
p10276,ｅ冒険島,0,0,0,0,0,9085,9320
p9956,ＰＦダンベル何キロ持てる？　Ｌｉｇｈｔ　ｖｅｒ．,0,0,0,0,0,9075,7558
p9774,ＰＡ　ＳＵＰＥＲ電役ナナシーＳＰＥＣＩＡＬ６６　Ｖｅｒ２．０,0,0,0,0,0,9000,9000
p9751,Ｐ真・花の慶次３　‐黄金一閃‐,0,0,0,0,0,9000,9000
p9817,Ｐ新・遠山の金さん　７７Ｖｅｒ．,0,0,0,0,0,9000,9000
p10028,Ｐゴブリンスレイヤー　ラッキートリガーＶｅｒ．,0,0,0,0,0,8975,8605
p10021,Ｐラブ嬢　～極嬢のハーレム体験～,0,0,0,0,0,8966,9136
p9870,Ｐハイスクール・フリート　オールスター,0,0,0,0,0,8909,9000
p9784,Ｐ真速のガッチャマン,0,0,0,0,0,8875,9857
p9872,Ｐ咲‐Ｓａｋｉ‐全国編,0,0,0,0,0,8818,8857
p9790,Ｐ銭形平次３　お静９９,0,0,0,0,0,8818,8818
p10281,ｅ　新・必殺仕置人　超斬撃９９,0,0,0,0,0,8816,11310
p9713,Ｐターミネーター２　ＴＹＰＥ７５００,0,0,0,0,0,8800,8800
p9883,Ｐリング　呪いの７日間３,0,0,0,0,0,8777,7375
p9768,Ｐ大海物語５,0,0,0,0,0,8750,8000
p9890,Ｐプロゴルファー猿　強甘１１９ｖｅｒ．,0,0,0,0,0,8714,10125
p10099,ｅ　乃木坂４６　ＩＩ,0,0,0,0,0,8704,8561
p9735,Ｐゴジラ対エヴァンゲリオン　～Ｇ細胞覚醒～,0,0,0,0,0,8700,8700
p10054,ｅ北斗の拳１０,0,0,0,0,0,8500,8862
p9715,Ｐ弾球黙示録カイジ５　ざわっ…Ｖｅｒ．,0,0,0,0,0,8500,8428
p9909,ぱちんこ　ＧＡＮＴＺ覚醒　ＲＵＳＨ１８０,0,0,0,0,0,8500,6666
p10194,ＰＬＴ　ＯＶＥＲＬＯＲＤ魔導王光臨１２９ｖｅｒ．,0,0,0,0,0,8447,7431
p9730,Ｐ聖闘士星矢　超流星　女神ゴールドｖｅｒ．１５００,0,0,0,0,0,8444,8600
p10189,Ｐ愛の不時着,0,0,0,0,0,8376,8555
p9752,ぱちんこ　アズールレーン　ＴＨＥ　ＡＮＩＭＡＴＩＯＮ,0,0,0,0,0,8250,8250
p9850,Ｐビッグドリーム３　７７ｖｅｒ．,0,0,0,0,0,8250,8250
p10119,Ｐ　宇宙戦艦ヤマト２２０２　超波動,0,0,0,0,0,8205,8060
p10092,Ｐとある科学の超電磁砲２,0,0,0,0,0,8133,8000
p9852,ぱちんこ　乃木坂４６　キュンキュンＬＩＧＨＴ　ｖｅｒ．,0,0,0,0,0,8000,8333
p9743,ＰＡ獅子王Ｊｒ．９９,0,0,0,0,0,8000,8000
p9787,Ｐプロゴルファー猿　ＥＭＰＥＲＯＲ　ＭＯＤＥＬ,3,3,0,0,0,8000,8000
p10001,Ｐバイオハザード　ＲＥ：２　ＬＴｖｅｒ．,0,0,0,0,0,7981,9552
p9814,Ｐ天龍∞ＳＥＶＥＮ,0,0,0,0,0,7900,6583
p10068,デジハネＰ交響詩篇エウレカセブン　ＡＮＥＭＯＮＥ　９９ｖｅｒ．,0,0,0,0,0,7833,8052
p10256,ｅ　仮面ライダーＢＬＡＣＫ,0,0,0,0,0,7750,7258
p9815,ＰＡ真・怪獣王ゴジラ２　７８Ｖｅｒ．,0,0,0,0,0,7750,7031
p9855,Ｐベルセルク無双　冥府魔道ｖｅｒ．,0,0,0,0,0,7600,7363
p10300,ｅ　マギアレコード　魔法少女まどか☆マギカ外伝,0,0,0,0,0,7500,7863
p9865,Ｐ七つの美徳　ゴールデンエンジェルタイム,0,0,0,0,0,7466,7187
p9813,ＰＡ元祖ギンギラパラダイス　強９９ｖｅｒ．,0,0,0,0,0,7444,7100
p9989,Ｐ化物語　１９９ｖｅｒ．,0,0,0,0,0,7361,7852
p9703,Ｐモンキーターン超抜ＺＤａ,0,0,0,0,0,7333,7333
p10010,ＰＡハイスクール・フリート　オールスター　すい～とでハッピー！２４００,0,0,0,0,0,7312,7629
p9925,ぱちんこ　シン・エヴァンゲリオン　Ｔｙｐｅ　レイ,0,0,0,0,0,7291,6293
p10134,Ｐ盾の勇者の成り上がり,0,0,0,0,0,7266,6750
p9823,Ｐ哲也,0,0,0,0,0,7250,6333
p10156,Ｐ真・一騎当千～桃園の誓い～１９９ＬＴｖｅｒ．,0,0,0,0,0,7166,6766
p9772,ＰＡ緋弾のアリア　～緋弾覚醒編～,0,0,0,0,0,7083,7272
p10035,Ｐ頭文字Ｄ　２ｎｄ,0,0,0,0,0,7052,7421
p10228,Ｐ痛いのは嫌なので防御力に極振りしたいと思います。,0,0,0,0,0,7026,8000
p9788,Ｐ聖戦士ダンバイン２　‐ＺＥＲＯＬＩＭＩＴ　ＨＹＰＥＲ‐,0,0,0,0,0,7000,7500
p9723,Ｐ新・遠山の金さん,0,0,0,0,0,7000,7000
p9903,Ｐ　ゴジラ対エヴァンゲリオン　～Ｇ細胞覚醒～　ＰＲＥＭＩＵＭ　ＭＯＤＥＬ,0,0,0,0,0,6980,6615
p10020,Ｐ　ＦＡＩＲＹ　ＴＡＩＬ　これが七炎竜の力だ,0,0,0,0,0,6900,6333
p9988,Ｐ化物語　３１９ｖｅｒ．,0,0,0,0,0,6875,8571
p9766,Ｐ真・北斗無双　第４章,0,0,0,0,0,6857,7066
p9898,ＰストリートファイターＶ　Ｋ．Ｏ．　ＲＵＳＨ,0,0,0,0,0,6800,6800
p9915,Ｐゲゲゲの鬼太郎　獅子奮迅,0,0,0,0,0,6769,5454
p9717,Ｐ七つの大罪２,0,0,0,0,0,6750,6666
p9999,Ｐ大工の源さん超韋駄天２極源ＬｉｇｈＴ,0,0,0,0,0,6717,6578
p9838,Ｐ貞子３Ｄ３,0,0,0,0,0,6625,7000
p9874,Ｐ　百花繚乱,0,0,0,0,0,6555,6181
p10065,Ｐドラムだ！金ドン　花火外伝,0,0,0,0,0,6535,6739
p9907,Ｐベルセルク無双　１１９ｖｅｒ．,0,0,0,0,0,6400,6500
p9761,Ｐルパン三世　ＴＨＥ　ＦＩＲＳＴ,0,0,0,0,0,6312,6785
p10012,Ｐ七つの大罪２　神千斬りＶＥＲ．,0,0,0,0,0,6250,5562
p9951,Ｐやじきた道中記　甘味ｖｅｒ．,0,0,0,0,0,6121,5907
p9746,Ｐシティーハンター　俺の心を震わせた日,0,0,0,0,0,6105,6581
p9727,Ｐ銀河鉄道９９９　Ｎｅｘｔ　Ｊｏｕｒｎｅｙ,0,0,0,0,0,6083,6437
p10168,ｅ　ゴジラ対エヴァンゲリオン　セカンドインパクト　Ｇ　破壊神覚醒,0,0,0,0,0,6037,5833
p10139,ｅ大工の源さん超韋駄天２　フルスイングＬＴ,0,0,0,0,0,6033,6420
p9780,Ｐ真・北斗無双　第３章　覚醒闘舞,0,0,0,0,0,6000,7500
p9760,ＰＦダンベル何キロ持てる？,0,0,0,0,0,6000,6000
p9773,Ｐだるまっしゅ２　１１９ｖｅｒ．,0,0,0,0,0,6000,5250
p10058,Ｐファンキードクター　天使ｖｅｒ．,0,0,0,0,0,6000,
p9779,ＰＦアクエリオン極合体,0,0,0,0,0,5875,6666
p9862,Ｐシティーハンター　俺の心を震わせた日　凄ライトミドル,0,0,0,0,0,5875,5875
p10366,ｅうしおととら～神のせＳＰＥＣ～３９９ｖｅｒ．,0,0,0,0,0,5750,6000
p9895,Ｐギルティクラウン２,0,0,0,0,0,5700,5000
p9863,Ｐ真・一騎当千～桃園の誓い～,0,0,0,0,0,5666,5545
p9911,Ｐ交響詩篇エウレカセブン　ＡＮＥＭＯＮＥ,0,0,0,0,0,5571,5769
p10015,Ｐひぐらしのなく頃に　輪廻転生,0,0,0,0,0,5500,5916
p10096,Ｐ攻殻機動隊ＳＡＣ＿２０４５　１９９ＬＴｖｅｒ．,0,0,0,0,0,5475,5447
p9834,Ｐブラックラグーン４,0,0,0,0,0,5352,5000
p9835,Ｐ地獄少女　Ｌｉｇｈｔ,0,0,0,0,0,5250,5250
p9740,Ｐ大開王,0,0,0,0,0,5250,5250
p9747,Ｐ戦国乙女　ＬＥＧＥＮＤ　ＢＡＴＴＬＥ　９９ｖｅｒ．,0,0,0,0,0,5250,6200
p10045,Ｐ魔王学院の不適合者,0,0,0,0,0,5233,5214
p9884,Ｐ頭文字Ｄ　Ｎｏｎ‐Ｓｔｏｐ　３０００Ｅｄｉｔｉｏｎ,0,0,0,0,0,5230,4571
p9830,Ｐ　コードギアス　反逆のルルーシュ　Ｒｅｂｅｌｌｉｏｎ　ｔｏ　Ｒｅ；ｓｕｒｒｅｃｔｉｏｎ,0,0,0,0,0,5200,4500
p9846,ｅ花の慶次　裂　一刀両断,0,0,0,0,0,5117,5111
p9975,ＰＬＴ　ＯＶＥＲＬＯＲＤ魔導王光臨,0,0,0,0,0,5055,4550
p9969,Ｐサラリーマン金太郎　１５９をなめんじゃねぇｖｅｒ．,0,0,0,0,0,5000,6600
p10167,Ｐ　ゴジラ対エヴァンゲリオン　セカンドインパクト　Ｇ,0,0,0,0,0,4888,4815
p9899,Ｐ真・北斗無双　第４章　下剋上闘,0,0,0,0,0,4866,4692
p9819,Ｐやじきた道中記,0,0,0,0,0,4800,4222
p9793,Ｐバベル５０００,0,0,0,0,0,4785,6062
p9875,ＰＦ戦姫絶唱シンフォギア３黄金絶唱Ｌｉｇｈｔ　ｖｅｒ,0,0,0,0,0,4769,4454
p9825,ＰＦスプラッシュ×スプラッシュ,0,0,0,0,0,4700,4700
p10123,Ｐモンスターハンターライズ,0,0,0,0,0,4647,4250
p9957,Ｐとある魔術の禁書目録２,0,0,0,0,0,4625,4583
p10030,Ｐクイーンズブレイド４　ＵＮＬＩＭＩＴＥＤ,0,0,0,0,0,4583,4000
