機種ID,メーカーID,メーカー名,パチンコ/スロット区分,PW機種コード,機種名,機種名カナ,検索用機種名カナ,機種グループ,機種ジャンル,販売年月日,予定販売台数,機種URL,MAX設置台数,MAX設置台数記録日,MAX設置店舗数,MAX設置店舗数記録日,備考,登録日時,更新日時,機種タイプ,確変タイプ,確率タイプ,大当り確率,高確率時確率,確変突入率,確変継続率,確変継続率タイプ,潜伏確変有無,賞球数,カウント数,ラウンド数,コインサイズ,機種タイプ,ARTタイプ,1G純増枚数,1G純増枚数タイプ,テーブル管理有無,天井ゲーム数,ボーナス獲得枚数,ART獲得枚数,ボーナス・ART確率,出玉率,型式名,検定日(東京),検定番号,PB機,管理遊技機,機種区分,設定,遊タイム,ラッキートリガー,デカヘソ,PB機,高射幸性機,メダルレス,規則区分,ボーナストリガー,みなし機,メーカーグループID,メーカーグループ名,公示日東京都検定,P区分,S区分,コード
102902,26,三洋,1,p4055,ＣＲ大冒険島Ｍ５６Ｆ,ダイボウケンジマ,ダイボウケンジマ,9999,1,20060129,,http://www.sanyobussan.co.jp/products/pk_daiboukenjima/index.html,,,,,,2014/1/14 10:21,,1,1,3,309.5,30.95,66,66,5,2,3&5&10&14,9,2or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,4055
102903,9,エース電研,1,p4056,ＣＲさまぁ～ずかよ！ＦＬＸ,サマァ～ズカヨ,サマァ～ズカヨ,9999,3,20060109,,http://www.pachinko-live.com/machine/summer/index.html,,,,,,2014/1/14 10:21,,1,1,2,369.5,,60,60,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,4056
102904,9,エース電研,1,p4057,ＣＲさまぁ～ずかよ！ＦＬＶ,サマァ～ズカヨ,サマァ～ズカヨ,9999,3,20060109,,http://www.pachinko-live.com/machine/summer/index.html,,,,,,2014/1/14 10:21,,1,1,1,386.5,,68.3,68.3,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,4057
102905,9,エース電研,1,p4058,ＣＲさまぁ～ずかよ！ＦＬＨ,サマァ～ズカヨ,サマァ～ズカヨ,9999,3,20060109,,http://www.pachinko-live.com/machine/summer/index.html,,,,,,2014/1/14 10:21,,1,1,4,257.8,57.27,50,50,6,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,4058
102906,65,ミズホ,1,p4060,ＣＲシンドバッドアドベンチャーＴＢ,シンドバッドアドベンチャー,シンドバッドアドベンチャー,9999,1,20060102,,,,,,,,2016/3/29 17:10,42458.71538,1,1,2,323.5,32.4,64,64,5,2,3&3&11;&14;,9,2or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ユニバーサル,,,,4060
102907,65,ミズホ,1,p4061,ＣＲシンドバッドアドベンチャーＤ,シンドバッドアドベンチャー,シンドバッドアドベンチャー,9999,1,20060102,,,,,,,,2014/1/14 10:21,,1,1,2,359.5,51.4,60,60,5,2,3&4&11&15,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ユニバーサル,,,,4061
102908,65,ミズホ,1,p4062,ＣＲシンドバッドアドベンチャーＢ,シンドバッドアドベンチャー,シンドバッドアドベンチャー,9999,1,20060102,,,,,,,,2016/3/29 17:04,42458.71124,1,1,2,330.5,47.2,60,60,5,2,3&4&11;&14;,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ユニバーサル,,,,4062
102909,33,大一,1,p4064,ＣＲチビ太のここで一発ＪＳ５０,チビタノココデイッパツ,チビタノココデイッパツ,9999,2,20060102,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,3&10,9,2or8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,4064
102910,79,ＳＡＮＫＹＯ,1,p4065,ＣＲＦ銀河鉄道物語ＭＦ－ＴＶ,ギンガテツドウモノガタリ,ギンガテツドウモノガタリ,9999,2,20060115,,,3,41591,1,41591,,2014/1/14 10:21,,1,1,3,315.1,,59,59,6,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4065
102911,79,ＳＡＮＫＹＯ,1,p4066,ＣＲＦ銀河鉄道物語ＳＦ－Ｔ,ギンガテツドウモノガタリ,ギンガテツドウモノガタリ,9999,2,20060115,,,,,,,,2014/1/14 10:21,,1,1,1,387.8,,67,67,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4066
102912,79,ＳＡＮＫＹＯ,1,p4067,ＣＲＦ銀河鉄道物語ＶＦ－Ｔ,ギンガテツドウモノガタリ,ギンガテツドウモノガタリ,9999,2,20060115,,,,,,,,2014/1/14 10:21,,1,1,1,399.6,,68,68,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4067
102913,49,ニューギン,1,p4068,ＣＲ女ねずみ小僧ただいま参上！ＭＥ５８,オンナネズミコゾウタダイマサンジョウ,オンナネズミコゾウタダイマサンジョウ,9999,3,20060205,,,,,,,,2016/3/29 16:47,42458.69988,1,1,2,349.75,39.97,58.3,58.3,6,2,3&4&7&15;,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,4068
102914,16,奥村,1,p4071,浮浪雲ワールド,ハグレグモ,ハグレグモ,9999,2,20060205,,http://www.okumura-yuuki.com/products/2006/details_hug/index.html,35,2014/1/1 0:00,15,2014/1/1 0:00,,2014/1/14 10:21,,4,5,8,79.3,,,,8,2,4&5&10&15,9,2or5,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,4071
102915,16,奥村,1,p4072,ＣＲ浮浪雲ＴＫ７２Ｊ,ハグレグモ,ハグレグモ,9999,2,20060205,,http://www.okumura-yuuki.com/products/2006/details_hug/index.html,,,,,,2014/1/14 10:21,,1,4,8,89.8,20.4,72,72,4,2,3&4&10&15,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,4072
102916,16,奥村,1,p4073,ＣＲ浮浪雲ＴＫ５６Ｊ,ハグレグモ,ハグレグモ,9999,2,20060205,,http://www.okumura-yuuki.com/products/2006/details_hug/index.html,,,,,,2014/1/14 10:21,,1,4,5,243.5,44.3,56,56,6,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,4073
102917,16,奥村,1,p4074,ＣＲ浮浪雲Ｂ６０Ｆ,ハグレグモ,ハグレグモ,9999,2,20060205,,http://www.okumura-yuuki.com/products/2006/details_hug/index.html,,,,,,2014/1/14 10:21,,1,1,1,389,38.9,60,60,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,4074
102918,16,奥村,1,p4075,ＣＲ浮浪雲Ｔ６７Ｆ,ハグレグモ,ハグレグモ,9999,2,20060205,,http://www.okumura-yuuki.com/products/2006/details_hug/index.html,,,,,,2014/1/14 10:21,,1,1,1,389,38.9,67,67,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,4075
102919,60,藤商事,1,p4077,ＣＲ渡り鳥ＡＫＩＲＡ　Ｚ,ワタリドリアキラ,ワタリドリアキラ,9999,3,20060212,,http://www.fujimarukun.co.jp/products/enjoy/scoop/scoop09/index.html,,,,,,2014/1/14 10:21,,1,1,4,251.5,35.9,66,66,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4077
102920,60,藤商事,1,p4078,ＣＲ渡り鳥ＡＫＩＲＡ　Ｇ,ワタリドリアキラ,ワタリドリアキラ,9999,3,20060212,,http://www.fujimarukun.co.jp/products/enjoy/scoop/scoop09/index.html,,,,,,2016/3/29 16:46,42458.69918,1,1,2,337,33.7,68,68,5,2,3&4&10;&14;,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4078
102921,60,藤商事,1,p4079,ＣＲ渡り鳥ＡＫＩＲＡ　Ｆ１,ワタリドリアキラ,ワタリドリアキラ,9999,3,20060212,,http://www.fujimarukun.co.jp/products/enjoy/scoop/scoop09/index.html,,,,,,2014/1/14 10:21,,1,1,1,397,39.7,64,64,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4079
102922,61,平和,1,p4080,スキージャンプ・ペア入門編,スキージャンプペアニュウモンヘン,スキージャンプペアニュウモンヘン,9999,2,20060212,,,52,41591,22,41591,,2014/1/14 10:21,,4,5,8,89.75,,,,8,2,4&3&10&13,9&10,5or6,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,4080
102923,61,平和,1,p4081,ＣＲスキージャンプ・ペア初級編,スキージャンプ・ペアショキュウヘン,スキージャンプ・ペアショキュウヘン,9999,2,20060212,,,54,41591,89,41591,,2014/1/14 10:21,,1,4,8,99.25,,100,100,1,2,4&3&10&14,9&10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,E,,4081
102924,61,平和,1,p4082,ＣＲスキージャンプ・ペア中級編,スキージャンプペアチュウキュウヘン,スキージャンプペアチュウキュウヘン,9999,2,20060212,,,1,41591,2,41591,,2014/1/14 10:21,,1,1,5,249.25,,36,36,7,2,4&3&10&14,9&10,15or16,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,4082
102925,61,平和,1,p4087,ラッセンワールドＶ,ラッセンワールド,ラッセンワールド,9999,3,20060115,,,10,41591,5,41591,,2014/1/14 10:21,,1,1,5,219.5,,,,8,2,3&5&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,4087
102926,56,ビスティ,1,p4090,ＣＲ新世紀エヴァンゲリオン　セカンドインパクトＸＦ,シンセイキエヴァンゲリオンセカンドインパクト,シンセイキエヴァンゲリオンセカンドインパクト,9999,2,20060212,,,,,,,,2016/3/29 16:45,42458.69815,1,1,2,344.9,34.5,64,64,5,2,3&4&10;&14;,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4090
102927,56,ビスティ,1,p4091,ＣＲ新世紀エヴァンゲリオン　セカンドインパクトＭＦ,シンセイキエヴァンゲリオンセカンドインパクト,シンセイキエヴァンゲリオンセカンドインパクト,9999,2,20060212,,,1,2014/1/1 0:00,2,2013/11/13 0:00,,2014/1/14 10:21,,1,1,3,315.1,31.5,60,60,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4091
102928,56,ビスティ,1,p4092,ＣＲ新世紀エヴァンゲリオン　セカンドインパクトＳＦ,シンセイキエヴァンゲリオンセカンドインパクト,シンセイキエヴァンゲリオンセカンドインパクト,9999,2,20060212,,,1,2015/6/10 0:00,2,2014/1/1 0:00,,2014/1/14 10:21,,1,1,1,397.2,39.7,67,67,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4092
102929,56,ビスティ,1,p4093,ＣＲ新世紀エヴァンゲリオン　セカンドインパクトＶＦ,シンセイキエヴァンゲリオンセカンドインパクト,シンセイキエヴァンゲリオンセカンドインパクト,9999,2,20060212,,,3,2013/12/11 0:00,6,2013/12/11 0:00,,2014/1/14 10:21,,1,1,1,399.6,40,72,72,4,2,3&4&10&13,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4093
102930,21,京楽,1,p4094,ＣＲ冬のソナタ　Ｍ６２ＴＦ２,フユノソナタ,フユノソナタ,9999,3,20060312,,http://www.kyoraku.co.jp/product_site/2006/fuyusona/index.html,40,41591,36,41591,,2014/1/14 10:21,,1,1,3,317,31.7,62,62,5,2,3&4&13&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,E,,4094
102931,61,平和,1,p4098,ＣＲゴルゴ１３　ＳＴＲＩＫＥＳ　ＡＧＡＩＮ　ＥＫ,ゴルゴサーティーン,ゴルゴサーティーン,9999,2,20060312,,,1,2019/8/28 0:00,1,2019/8/28 0:00,,2016/3/29 16:43,42458.69709,1,1,2,349.7,35,62,62,5,2,3&4&10;&14;&15;,9,15or16,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,4098
102932,61,平和,1,p4099,ＣＲゴルゴ１３　ＳＴＲＩＫＥＳ　ＡＧＡＩＮ　ＭＫ,ゴルゴサーティーン,ゴルゴサーティーン,9999,2,20060312,,,3,2014/1/1 0:00,2,2014/1/1 0:00,,2014/1/14 10:21,,1,1,1,397.7,39.8,66,66,5,2,3&4&14&15,9,15or16,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,E,,4099
102933,33,大一,1,p4100,ＣＲ所さんのすんごいパチンコ台ＫＳ,トコロサンノスンゴイパチンコダイ,トコロサンノスンゴイパチンコダイ,9999,3,20060226,,http://img.d777.jp/machine/pachinko/tokoro/,4,2014/1/1 0:00,7,2013/11/13 0:00,,2014/1/14 10:21,,1,1,8,99.25,14.17,51,51,6,2,3&10&14,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,4100
102934,33,大一,1,p4101,ＣＲ所さんのすんごいパチンコ台ＫＭ,トコロサンノスンゴイパチンコダイ,トコロサンノスンゴイパチンコダイ,9999,3,20060226,,http://img.d777.jp/machine/pachinko/tokoro/,,,,,,2014/1/14 10:21,,1,1,3,315.5,31.55,65,65,5,2,3&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,4101
102935,36,タイヨーエレック,1,p4102,ＣＲ演歌の歌姫八代亜紀　ＡＣＸ,エンカノウタヒメヤシロアキ,エンカノウタヒメヤシロアキ,9999,3,20060716,,,1,2014/1/1 0:00,1,2014/1/1 0:00,,2014/1/14 10:21,,1,2,8,97.7,9.8,100,100,1,2,3&4&10&14,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,4102
102936,79,ＳＡＮＫＹＯ,1,p4103,ＣＲＦジュリー・ザ・ピンボールＭＦ－Ｔ,ジュリー・ザ・ピンボール,ジュリー・ザ・ピンボール,9999,3,20060305,,,,,,,,2014/1/14 10:21,,1,1,3,315.1,31.5,59,59,6,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4103
102937,79,ＳＡＮＫＹＯ,1,p4104,ＣＲＦジュリー・ザ・ピンボールＳＦ－Ｔ１,ジュリー・ザ・ピンボール,ジュリー・ザ・ピンボール,9999,3,20060305,,,,,,,,2014/1/14 10:21,,1,1,1,387.8,38.8,67,67,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4104
102938,79,ＳＡＮＫＹＯ,1,p4105,ＣＲＦジュリー・ザ・ピンボールＳＦ－Ｔ２,ジュリー・ザ・ピンボール,ジュリー・ザ・ピンボール,9999,3,20060305,,,,,,,,2014/1/14 10:21,,1,1,1,399.6,40,75,75,4,2,3&4&10&15,9,7or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4105
102939,39,高砂,1,p4107,ＣＲ海童くんＦＮ７２,カッパクン,カッパクン,9999,1,20060305,,,,,,,,2014/1/14 10:21,,1,1,1,397.67,42.61,71.97,71.97,4,2,3&4&13&15,9,2or5or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,コナミ,,,,4107
102940,39,高砂,1,p4108,ＣＲ海童くんＤＮ２Ｃ,カッパクン,カッパクン,9999,1,20060305,,,,,,,,2016/3/29 16:42,42458.69635,1,4,2,336.33,50.45,100,100,1,2,3&4&13;&15;,9,2or5or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,コナミ,,,,4108
102941,39,高砂,1,p4109,ＣＲ海童くんＤＮ３Ｃ,カッパクン,カッパクン,9999,1,20060305,,,,,,,,2014/1/14 10:21,,1,4,4,292.33,48.72,100,100,1,2,3&4&13&15,9,2or5or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,コナミ,,,,4109
102942,86,アトム,1,p4111,ＣＲＰカリブの海賊Ｇ,カリブノカイゾク,カリブノカイゾク,9999,1,20060326,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,分類不可,,,,4111
102943,9,エース電研,1,p4112,ＣＲデカチューＭＡＸ２,デカチュー,デカチュー,9999,1,20060205,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,3&9&10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,4112
102944,38,高尾,1,p4113,ＣＲくるくるポン萌２,クルクルポンモエ,クルクルポンモエ,9999,1,20060226,,http://www.takao.gr.jp/product/2006/moe2.html,,,,,,2014/1/14 10:21,,1,1,5,239.5,23.95,66,66,5,2,3&13&15,9,2or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,高尾,,,,4113
102945,49,ニューギン,1,p4114,ＣＲワンダフルポリスＲ,ワンダフルポリス,ワンダフルポリス,9999,1,20060319,,,48,41661,24,41661,,2014/1/14 10:21,,3,5,4,299.8,,,,8,2,3&5&10&15,9,2or8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,4114
102946,24,サミー,1,p4116,ＣＲガメラエクストリームバトル,ガメラエクストリームバトル,ガメラエクストリームバトル,9999,3,20060416,,http://www.sammy.co.jp/japanese/product/pachinko/cr_gamera/index.html,3,43845,2,42781,,2014/1/14 10:21,,3,1,7,102.6,,,,8,2,3&13&15,9,2or7,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,4116
102947,60,藤商事,1,p4117,ＣＲゲゲゲの鬼太郎３　Ｚ,ゲゲゲノキタロウ,ゲゲゲノキタロウ,9999,2,20060402,,http://www.fujimarukun.co.jp/products/enjoy/scoop/scoop10/index.html,,,,,,2014/1/14 10:21,,1,1,4,257,25.7,60,60,5,2,3&4&10&15,8,8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4117
102948,60,藤商事,1,p4118,ＣＲゲゲゲの鬼太郎３　Ｋ,ゲゲゲノキタロウ,ゲゲゲノキタロウ,9999,2,20060402,,http://www.fujimarukun.co.jp/products/enjoy/scoop/scoop10/index.html,,,,,,2014/1/14 10:21,,1,1,1,397,39.7,75,75,4,2,3&4&10&15,8,8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4118
102949,60,藤商事,1,p4119,ＣＲゲゲゲの鬼太郎３　Ｆ,ゲゲゲノキタロウ,ゲゲゲノキタロウ,9999,2,20060402,,http://www.fujimarukun.co.jp/products/enjoy/scoop/scoop10/index.html,7,2014/4/9 0:00,2,2014/1/29 0:00,,2014/1/14 10:21,,1,1,1,397,39.7,75,75,4,2,3&4&10&15,8,8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4119
102950,60,藤商事,1,p4122,ＣＲアレジン２１Ｒ,アレジン,アレジン,9999,1,20060205,,,2,2014/8/13 0:00,1,2014/1/1 0:00,,2014/1/14 10:21,,4,5,10,,,,,8,2,5&15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,4122
102951,49,ニューギン,1,p4123,ヴィーナス３,ヴィーナス,ヴィーナス,9999,1,20060326,,,,,,,,2014/1/14 10:21,,4,5,5,240,,,,8,2,6&9&13,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,4123
102952,49,ニューギン,1,p4124,ＣＲコント５５号ＮＦ６７,コントゴジュウゴゴウ,コントゴジュウゴゴウ,9999,3,20060326,,,4,42165,5,42165,,2014/1/14 10:21,,1,1,8,95.8,10.07,67,67,5,2,3&4&10&15,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,4124
102953,49,ニューギン,1,p4125,ＣＲコント５５号ＳＦ６０,コントゴジュウゴゴウ,コントゴジュウゴゴウ,9999,3,20060326,,,,,,,,2014/1/14 10:21,,1,1,4,265.3,27.92,60,60,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,4125
102954,49,ニューギン,1,p4126,ＣＲコント５５号ＭＥ５８,コントゴジュウゴゴウ,コントゴジュウゴゴウ,9999,3,20060326,,,,,,,,2016/3/29 16:41,42458.6956,1,1,2,349.8,36.81,65.4,65.4,5,2,3&4&10;&15;,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,4126
102955,48,西陣,1,p4127,ＣＲ花満開煌ＦＴ,ハナマンカイキラメキ,ハナマンカイキラメキ,9999,1,20060402,,http://www.nishijin.co.jp/jp/product-p/2006-2005/hana_kirameki/index.html,,,,,,2016/3/29 16:40,42458.69457,1,1,2,345.5,34.6,50,50,6,2,4&10;&14;,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,4127
102956,48,西陣,1,p4128,ＣＲ花満開煌ＸＴ,ハナマンカイキラメキ,ハナマンカイキラメキ,9999,1,20060402,,http://www.nishijin.co.jp/jp/product-p/2006-2005/hana_kirameki/index.html,4,2013/11/13 0:00,3,2013/11/13 0:00,,2014/1/14 10:21,,1,1,1,398.5,39.9,64,64,5,2,3&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,4128
102957,36,タイヨーエレック,1,p4130,ＣＲ五右衛門ＳＫＳ,ゴエモン,ゴエモン,9999,1,20060402,,http://www.taiyoelec.co.jp/user/pachinko/products/goemon/,,,,,,2014/1/14 10:21,,1,1,4,299.5,49.9,73.1,73.1,4,2,3&4&10&14,9,2or14,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,4130
102958,79,ＳＡＮＫＹＯ,1,p4131,ＣＲＦインディ・ジョーンズＳＴ７,インディ・ジョーンズ,インディ・ジョーンズ,9999,3,20060416,,,,,,,,2014/1/14 10:21,,1,2,5,225.2,22.5,100,100,1,2,6&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4131
102959,79,ＳＡＮＫＹＯ,1,p4132,ＣＲＦインディ・ジョーンズＭＦ－Ｔ,インディ・ジョーンズ,インディ・ジョーンズ,9999,3,20060416,,,,,,,,2014/1/14 10:21,,1,1,4,293.9,29.4,59,59,6,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4132
102960,79,ＳＡＮＫＹＯ,1,p4133,ＣＲＦインディ・ジョーンズＳＦ－Ｔ,インディ・ジョーンズ,インディ・ジョーンズ,9999,3,20060416,,,,,,,,2014/1/14 10:21,,1,1,1,399.6,40,68,68,5,2,3&4&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,4133
102961,25,サンセイＲ＆Ｄ,1,p4134,ＣＲ新がきデカＳＡＷ,シンガキデカ,シンガキデカ,9999,2,20060416,,http://www.sansei.co.jp/products04/gakideka/index2.html,,,,,,2014/1/14 10:21,,1,1,2,369.5,38.9,60,60,5,2,3&4&8&14,9,2or14or16,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,サンセイＲ＆Ｄ,,,,4134
102962,25,サンセイＲ＆Ｄ,1,p4135,ＣＲ新がきデカＭＡＷ,シンガキデカ,シンガキデカ,9999,2,20060416,,http://www.sansei.co.jp/products04/gakideka/index2.html,,,,,,2016/3/29 16:38,42458.69348,1,1,2,338.5,39.82,52,52,6,2,3&4&8&15;,9,2or14or16,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,サンセイＲ＆Ｄ,,,,4135
102963,25,サンセイＲ＆Ｄ,1,p4136,ＣＲ新がきデカＳＨＷ,シンガキデカ,シンガキデカ,9999,2,20060416,,http://www.sansei.co.jp/products04/gakideka/index2.html,4,41892,7,41892,,2014/1/14 10:21,,1,1,1,398.5,39.85,63,63,5,2,3&4&8&15,9,2or14or16,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,サンセイＲ＆Ｄ,,,,4136
102964,64,マルホン,1,p4137,ＣＲビックリマン２０００　ＦＺ６,ビックリマン,ビックリマン,9999,2,20060416,,http://www.maruhon-kogyo.co.jp/product/2006/bikkuriman/,,,,,,2014/1/14 10:21,,1,1,2,369.5,37,60,60,5,2,3&4&10&14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,4137
102965,64,マルホン,1,p4138,ＣＲビックリマン２０００　ＮＭ,ビックリマン,ビックリマン,9999,2,20060416,,http://www.maruhon-kogyo.co.jp/product/2006/bikkuriman/,,,,,,2014/1/14 10:21,,1,1,5,239.5,24,73.3,73.3,4,2,3&4&10&14,9,2or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,4138
102966,64,マルホン,1,p4139,ＣＲビックリマン２０００　ＳＴ,ビックリマン,ビックリマン,9999,2,20060416,,http://www.maruhon-kogyo.co.jp/product/2006/bikkuriman/,1,41640,1,41640,,2014/1/14 10:21,,1,2,8,86.8,8.7,100,100,1,2,3&4&10&14,9,2or5,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,4139
102967,64,マルホン,1,p4140,ＣＲビックリマン２０００　ＴＫＳ,ビックリマン,ビックリマン,9999,2,20060416,,http://www.maruhon-kogyo.co.jp/product/2006/bikkuriman/,,,,,,2016/3/29 16:34,42458.69067,1,1,2,329.5,33,59.3,59.3,6,2,3&4&10;&14;,9,2or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,4140
102968,64,マルホン,1,p4141,ＣＲビックリマン２０００　ＴＫ,ビックリマン,ビックリマン,9999,2,20060416,,http://www.maruhon-kogyo.co.jp/product/2006/bikkuriman/,,,,,,2014/1/14 10:21,,1,1,1,397.7,39.8,66.7,66.7,5,2,3&4&10&15,9,2or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,4141
102969,25,サンセイＲ＆Ｄ,1,p4142,ＣＲ新がきデカＤＡＷ,シンガキデカ,シンガキデカ,9999,2,20060416,,http://www.sansei.co.jp/products04/gakideka/index2.html,,,,,,2014/1/14 10:21,,1,1,5,249.5,55.44,50,50,6,2,3&4&8&14,9,2or14or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,サンセイＲ＆Ｄ,,,,4142
102970,40,竹屋,1,p4144,ＣＲモンスタービレッジＴＫ５,モンスタービレッジ,モンスタービレッジ,9999,1,20060305,,http://www.p-takeya.co.jp/village/index.html,,,,,,2014/1/14 10:21,,1,1,2,373.5,37.35,60,60,5,2,3&5&10&15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,竹屋,,,,4144
102971,33,大一,1,p4146,チビ太のここで一発ＪＳ５０,チビタノココデイッパツ,チビタノココデイッパツ,9999,2,20060305,,,,,,,,2014/1/14 10:21,,3,5,6,173.5,,,,8,2,3&10,9,2or8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,4146
102972,33,大一,1,p4147,チビ太のここで一発Ｊ１０,チビタノココデイッパツ,チビタノココデイッパツ,9999,2,20060305,,,,,,,,2014/1/14 10:21,,3,5,2,375.5,,,,8,2,4&9&10,9,2or8or15,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,4147
